order_id,customer_id,order_date,product_id,product_category,quantity,price_per_unit,total_amount
O00072,C0037,2022-12-25,P065,Fashion,17.0,334.66,5689.22
O00073,C0133,2022-02-11,P031,Toys,2.0,539.72,1079.44
O00074,C0042,2022-03-24,P097,Groceries,18.0,361.73,6511.14
O00075,C0190,2022-12-15,P009,Fashion,18.0,258.44,4651.92
O00076,C0100,2023-11-14,P093,Toys,1.0,467.96,467.96
O00077,C0013,2022-08-02,P026,,,,5162.85
O00078,C0095,2022-09-21,P026,Home,14.0,768.99,10765.86
O00079,C0018,2022-05-31,P041,Groceries,2.0,1140.28,2280.56
O00080,C0092,2022-06-30,P097,Books,12.0,627.66,7531.92
O00081,C0086,2023-02-03,P019,,,,630.6
O00082,C0070,2023-07-03,P050,Groceries,13.0,265.11,3446.43
O00083,C0180,2023-09-14,P019,Groceries,14.0,164.43,2302.02
O00084,C0115,2023-04-21,P077,Fashion,14.0,1389.65,19455.1
O00085,C0033,2023-06-14,P092,Electronics,15.0,391.22,5868.3
O00086,C0117,2022-03-25,P071,Electronics,1.0,1367.17,1367.17
O00087,C0088,2022-01-10,P079,Fashion,4.0,75.5,302.0
O00088,C0191,2023-01-25,P058,Groceries,11.0,370.84,4079.24
O00089,C0008,2023-04-29,P033,,,,26097.2
O00090,C0186,2022-06-16,P069,Fashion,20.0,822.82,16456.4
O00091,C0044,2022-04-16,P129,Fashion,13.0,454.46,5907.98
O00092,C0160,2022-01-26,P009,Home,12.0,1271.02,15252.24
O00093,C0158,2022-09-12,P014,,,,6282.48
O00094,C0063,2022-04-15,P001,Groceries,7.0,10.51,73.57
O00095,C0172,2023-06-22,P106,Groceries,6.0,898.24,5389.44
O00096,C0005,2023-06-23,P013,Fashion,10.0,12.46,124.6
O00097,C0009,2023-12-13,P010,,,,22179.9
O00098,C0154,2022-04-07,P088,Books,9.0,531.01,4779.09
O00099,C0078,2022-03-06,P002,Electronics,2.0,913.3,1826.6
O00100,C0043,2023-05-04,P019,Toys,8.0,278.5,2228.0
O00101,C0009,2023-07-13,P057,Groceries,19.0,1073.1,20388.9
O00102,C0130,2023-01-14,P046,,,,6060.8
O00103,C0032,2023-07-29,P096,Home,1.0,1433.68,1433.68
O00104,C0119,2023-01-22,P110,Books,16.0,49.96,799.36
O00105,C0154,2022-10-31,P126,Toys,4.0,1044.91,4179.64
O00106,C0004,2023-03-15,P043,Toys,19.0,161.96,3077.24
O00107,C0010,2023-01-11,P130,,,,2448.46
O00108,C0099,2022-01-28,P069,,,,7295.85
O00109,C0190,2022-01-24,P021,,,,29857.0
O00110,C0129,2023-10-09,P072,Home,11.0,648.33,7131.63
O00111,C0001,2022-08-11,P027,Home,12.0,761.18,9134.16
O00112,C0026,2023-12-10,P089,Groceries,9.0,1260.27,11342.43
O00113,C0034,2022-07-04,P005,Home,14.0,894.52,12523.28
O00114,C0067,2023-07-25,P002,Home,12.0,654.47,7853.64
O00115,C0098,2023-05-11,P031,Electronics,17.0,1490.71,25342.07
O00116,C0162,2023-10-19,P061,Books,18.0,1410.95,25397.1
O00117,C0060,2023-06-21,P047,Home,1.0,127.83,127.83
O00118,C0090,2022-07-20,P112,Groceries,14.0,1454.49,20362.86
O00119,C0195,2022-04-18,P004,Home,14.0,345.55,4837.7
O00120,C0181,2022-11-27,P042,,,,7347.4
O00121,C0096,2023-05-15,P004,Fashion,4.0,979.89,3919.56
O00122,C0005,2022-03-04,P104,Groceries,9.0,429.63,3866.67
O00123,C0135,2022-03-10,P073,Groceries,2.0,614.14,1228.28
O00124,C0173,2023-06-25,P038,Groceries,6.0,991.49,5948.94
O00125,C0192,2023-07-09,P038,Groceries,16.0,167.35,2677.6
O00126,C0058,2023-08-25,P027,Toys,6.0,747.97,4487.82
O00127,C0133,2023-02-10,P023,Groceries,7.0,1222.41,8556.87
O00128,C0044,2022-04-02,P049,Books,14.0,159.95,2239.3
O00129,C0003,2022-04-30,P058,Toys,6.0,645.8,3874.8
O00130,C0147,2022-09-18,P037,Toys,8.0,978.04,7824.32
O00131,C0002,2023-06-13,P058,Books,5.0,808.57,4042.85
O00132,C0161,2023-07-31,P059,Books,19.0,586.2,11137.8
O00133,C0016,2023-07-01,P048,Electronics,5.0,634.05,3170.25
O00134,C0038,2023-05-23,P046,Groceries,20.0,769.64,15392.8
O00135,C0165,2022-12-20,P111,Books,12.0,575.82,6909.84
O00136,C0006,2022-03-23,P050,Home,5.0,743.6,3718.0
O00137,C0024,2023-10-16,P116,Electronics,1.0,1013.63,1013.63
O00138,C0025,2023-03-22,P032,Books,11.0,478.67,5265.37
O00139,C0037,2023-05-19,P068,Toys,10.0,113.5,1135.0
O00140,C0167,2023-09-13,P100,Home,11.0,1434.66,15781.26
O00141,C0001,2023-09-10,P117,Fashion,20.0,406.67,8133.4
O00142,C0014,2023-08-29,P016,Home,19.0,40.07,761.33
O00143,C0082,2023-11-19,P054,Groceries,15.0,1278.91,19183.65
O00144,C0163,2022-04-03,P016,Fashion,3.0,741.98,2225.94
O00145,C0153,2022-12-27,P124,Fashion,7.0,1421.89,9953.23
O00146,C0020,2022-08-13,P015,Groceries,6.0,969.07,5814.42
O00147,C0085,2022-04-15,P059,Books,18.0,1497.62,26957.16
O00148,C0193,2022-10-10,P061,Electronics,5.0,113.5,567.5
O00149,C0140,2023-04-14,P100,Fashion,7.0,1208.57,8459.99
O00150,C0055,2023-12-20,P018,Groceries,9.0,782.85,7045.65
O00151,C0071,2022-09-14,P125,Electronics,8.0,336.09,2688.72
O00152,C0199,2023-03-20,P093,Groceries,3.0,1389.36,4168.08
O00153,C0050,2022-11-20,P115,Home,15.0,1007.74,15116.1
O00154,C0199,2022-07-24,P037,Groceries,16.0,464.66,7434.56
O00155,C0041,2022-04-13,P042,Fashion,9.0,1085.59,9770.31
O00156,C0142,2022-10-06,P032,Electronics,19.0,1433.77,27241.63
O00157,C0139,2022-08-30,P091,Books,19.0,499.15,9483.85
O00158,C0187,2022-11-06,P118,Toys,5.0,1203.71,6018.55
O00159,C0143,2023-06-10,P070,Electronics,7.0,487.0,3409.0
O00160,C0160,2022-01-29,P032,Toys,9.0,1140.92,10268.28
O00161,C0181,2023-04-15,P073,Toys,12.0,337.24,4046.88
O00162,C0082,2023-03-12,P090,Fashion,20.0,316.27,6325.4
O00163,C0024,2023-01-01,P060,Fashion,14.0,400.92,5612.88
O00164,C0125,2022-07-16,P004,Home,2.0,870.53,1741.06
O00165,C0099,2022-09-07,P130,Groceries,14.0,181.34,2538.76
O00166,C0090,2022-08-09,P078,Groceries,13.0,811.72,10552.36
O00167,C0191,2022-11-17,P127,Books,2.0,547.0,1094.0
O00168,C0001,2023-10-04,P012,Home,18.0,317.38,5712.84
O00169,C0101,2022-08-14,P035,Electronics,19.0,199.4,3788.6
O00170,C0190,2023-12-25,P105,Fashion,6.0,1432.98,8597.88
O00171,C0136,2022-03-29,P051,Books,9.0,1022.39,9201.51
O00172,C0114,2022-06-26,P089,Groceries,16.0,1044.46,16711.36
O00173,C0154,2022-03-31,P014,Home,13.0,1367.84,17781.92
O00174,C0166,2023-03-01,P027,Books,8.0,1054.88,8439.04
O00175,C0061,2022-07-29,P128,Groceries,20.0,1112.55,22251.0
O00176,C0068,2022-10-28,P047,Electronics,3.0,1199.51,3598.53
O00177,C0195,2022-10-10,P084,Electronics,5.0,45.81,229.05
O00178,C0157,2022-07-13,P015,Groceries,1.0,322.72,322.72
O00179,C0104,2023-01-28,P022,Home,5.0,1321.02,6605.1
O00180,C0147,2023-01-31,P084,Toys,11.0,1334.19,14676.09
O00181,C0180,2023-07-19,P051,Groceries,15.0,35.82,537.3
O00182,C0128,2023-05-01,P104,Home,2.0,1024.84,2049.68
O00183,C0178,2023-07-27,P043,Electronics,11.0,638.29,7021.19
O00184,C0045,2023-02-20,P081,Fashion,16.0,79.79,1276.64
O00185,C0039,2022-07-04,P001,Home,17.0,97.5,1657.5
O00186,C0017,2023-08-30,P102,Books,19.0,504.65,9588.35
O00187,C0194,2022-07-29,P113,Fashion,17.0,866.41,14728.97
O00188,C0008,2022-06-01,P118,Toys,15.0,1062.63,15939.45
O00189,C0118,2023-12-25,P076,Books,19.0,572.62,10879.78
O00190,C0133,2022-06-25,P014,Toys,17.0,146.73,2494.41
O00191,C0051,2022-09-16,P061,Electronics,1.0,995.17,995.17
O00192,C0100,2022-08-03,P081,Books,12.0,1464.29,17571.48
O00193,C0087,2022-01-13,P079,Books,7.0,385.17,2696.19
O00194,C0075,2023-12-19,P130,Groceries,4.0,1488.6,5954.4
O00195,C0083,2022-04-12,P017,Fashion,17.0,1305.73,22197.41
O00196,C0117,2022-03-02,P075,Books,8.0,628.49,5027.92
O00197,C0048,2023-07-20,P100,Home,6.0,1168.98,7013.88
O00198,C0094,2022-02-09,P032,Toys,18.0,70.53,1269.54
O00199,C0078,2022-06-13,P129,Books,6.0,1077.88,6467.28
O00200,C0082,2023-11-29,P066,Toys,20.0,38.33,766.6
O00201,C0199,2022-06-16,P127,Electronics,16.0,1211.73,19387.68
O00202,C0034,2023-10-17,P107,Books,18.0,495.7,8922.6
O00203,C0003,2022-12-26,P120,Groceries,12.0,898.32,10779.84
O00204,C0087,2023-07-20,P068,Home,15.0,282.19,4232.85
O00205,C0194,2022-10-07,P051,Electronics,1.0,1063.18,1063.18
O00206,C0062,2023-01-10,P117,Groceries,11.0,62.46,687.06
O00207,C0066,2022-03-11,P128,Fashion,14.0,918.92,12864.88
O00208,C0071,2023-12-30,P111,Toys,10.0,751.68,7516.8
O00209,C0065,2022-11-19,P078,Fashion,13.0,666.01,8658.13
O00210,C0039,2022-06-14,P114,Home,14.0,184.06,2576.84
O00211,C0053,2022-03-09,P044,Home,18.0,922.01,16596.18
O00212,C0125,2023-08-25,P089,Fashion,15.0,253.01,3795.15
O00213,C0061,2023-10-24,P019,Toys,14.0,1272.28,17811.92
O00214,C0187,2023-12-29,P011,Electronics,16.0,1030.09,16481.44
O00215,C0062,2023-01-26,P100,Fashion,4.0,1402.62,5610.48
O00216,C0011,2022-11-17,P020,Home,3.0,900.84,2702.52
O00217,C0195,2022-04-30,P078,Home,6.0,480.28,2881.68
O00218,C0146,2022-03-31,P099,Home,18.0,97.8,1760.4
O00219,C0200,2023-04-09,P118,Books,7.0,147.83,1034.81
O00220,C0147,2023-10-29,P052,Toys,5.0,813.64,4068.2
O00221,C0087,2022-07-13,P019,Home,6.0,334.7,2008.2
O00222,C0113,2023-02-11,P056,Groceries,7.0,329.94,2309.58
O00223,C0135,2022-05-30,P015,Fashion,14.0,1221.4,17099.6
O00224,C0062,2022-10-28,P060,Groceries,20.0,503.33,10066.6
O00225,C0027,2022-05-02,P114,Books,13.0,478.83,6224.79
O00226,C0078,2022-08-23,P053,Toys,5.0,620.34,3101.7
O00227,C0038,2023-11-22,P086,Electronics,16.0,1135.35,18165.6
O00228,C0154,2023-04-16,P100,Groceries,5.0,506.16,2530.8
O00229,C0196,2023-04-03,P032,Groceries,8.0,568.72,4549.76
O00230,C0137,2022-06-01,P047,Books,15.0,421.03,6315.45
O00231,C0121,2022-10-26,P113,Books,2.0,23.54,47.08
O00232,C0037,2022-10-28,P009,Fashion,18.0,1129.0,20322.0
O00233,C0187,2023-05-07,P063,Electronics,18.0,1329.66,23933.88
O00234,C0142,2023-02-19,P021,Groceries,20.0,1108.14,22162.8
O00235,C0043,2022-11-25,P012,Groceries,18.0,292.48,5264.64
O00236,C0028,2022-08-05,P071,Groceries,12.0,1401.93,16823.16
O00237,C0022,2022-03-22,P032,Fashion,10.0,321.71,3217.1
O00238,C0133,2022-12-18,P090,Books,14.0,1337.37,18723.18
O00239,C0079,2022-09-19,P070,Home,11.0,837.23,9209.53
O00240,C0081,2023-10-29,P067,Electronics,17.0,1467.82,24952.94
O00241,C0004,2022-12-17,P094,Electronics,2.0,897.04,1794.08
O00242,C0135,2023-08-13,P064,Groceries,11.0,955.36,10508.96
O00243,C0146,2023-09-30,P072,Toys,10.0,1349.62,13496.2
O00244,C0173,2022-04-15,P054,Groceries,10.0,838.0,8380.0
O00245,C0020,2022-10-20,P059,Toys,12.0,1366.26,16395.12
O00246,C0155,2022-09-15,P070,Groceries,20.0,59.25,1185.0
O00247,C0045,2023-11-06,P036,Groceries,8.0,1133.36,9066.88
O00248,C0061,2023-07-08,P039,Home,8.0,1369.24,10953.92
O00249,C0059,2022-04-03,P034,Home,20.0,1214.74,24294.8
O00250,C0007,2023-11-01,P106,Books,3.0,731.12,2193.36
O00251,C0136,2022-02-21,P066,Groceries,12.0,497.89,5974.68
O00252,C0181,2023-06-02,P015,,,,176.91
O00253,C0142,2023-04-03,P034,Home,3.0,252.33,756.99
O00254,C0059,2022-07-16,P128,Fashion,12.0,50.78,609.36
O00255,C0009,2023-02-06,P022,Books,20.0,61.72,1234.4
O00256,C0161,2022-11-10,P095,Fashion,9.0,314.34,2829.06
O00257,C0152,2023-01-23,P076,Groceries,11.0,1237.79,13615.69
O00258,C0177,2022-08-28,P040,Books,8.0,821.23,6569.84
O00259,C0062,2022-07-29,P012,Home,1.0,1414.55,1414.55
O00260,C0039,2023-12-18,P054,,,,3302.2
O00261,C0023,2023-09-12,P074,Groceries,4.0,626.69,2506.76
O00262,C0072,2022-09-02,P022,Toys,18.0,839.17,15105.06
O00263,C0003,2022-03-12,P106,Books,13.0,388.72,5053.36
O00264,C0094,2023-10-02,P054,,,,18145.46
O00265,C0031,2023-01-09,P122,Groceries,17.0,1325.5,22533.5
O00266,C0131,2022-09-29,P016,Electronics,13.0,1396.57,18155.41
O00267,C0187,2023-09-02,P068,Books,2.0,1070.9,2141.8
O00268,C0024,2022-12-08,P004,Groceries,16.0,93.1,1489.6
O00269,C0004,2022-01-01,P026,Electronics,1.0,1139.1,1139.1
O00270,C0049,2023-08-09,P088,Fashion,9.0,836.07,7524.63
O00271,C0166,2023-11-21,P094,Fashion,4.0,874.68,3498.72
O00272,C0173,2022-02-15,P096,Electronics,11.0,428.93,4718.23
O00273,C0107,2023-04-11,P043,Home,1.0,978.78,978.78
O00274,C0055,2023-07-13,P021,Toys,4.0,282.67,1130.68
O00275,C0156,2022-11-21,P067,Electronics,17.0,373.66,6352.22
O00276,C0184,2023-02-12,P064,Fashion,17.0,528.58,8985.86
O00277,C0142,2022-09-09,P057,Electronics,8.0,913.41,7307.28
O00278,C0045,2022-10-02,P019,Groceries,20.0,1267.38,25347.6
O00279,C0139,2023-06-24,P094,Groceries,3.0,606.1,1818.3
O00280,C0041,2022-05-28,P050,Groceries,14.0,452.09,6329.26
O00281,C0074,2022-05-07,P027,Toys,5.0,516.51,2582.55
O00282,C0188,2022-09-20,P028,Books,4.0,698.38,2793.52
O00283,C0194,2023-11-05,P123,Toys,12.0,196.66,2359.92
O00284,C0185,2022-12-22,P026,Fashion,7.0,895.48,6268.36
O00285,C0164,2023-12-27,P009,Fashion,11.0,1152.31,12675.41
O00286,C0123,2022-05-19,P024,Home,14.0,1084.24,15179.36
O00287,C0003,2023-10-01,P034,Home,10.0,816.8,8168.0
O00288,C0037,2022-05-24,P126,Groceries,19.0,997.58,18954.02
O00289,C0106,2023-01-14,P032,Electronics,17.0,888.46,15103.82
O00290,C0086,2023-06-25,P068,Home,13.0,605.34,7869.42
O00291,C0148,2022-06-15,P075,,,,6321.48
O00292,C0095,2023-01-06,P093,Books,17.0,397.59,6759.03
O00293,C0158,2022-11-07,P118,Books,8.0,1308.63,10469.04
O00294,C0186,2023-03-01,P017,Home,20.0,1396.13,27922.6
O00295,C0060,2022-12-30,P010,Books,16.0,995.46,15927.36
O00296,C0107,2023-03-22,P127,Electronics,19.0,1094.88,20802.72
O00297,C0110,2023-07-01,P115,Toys,17.0,1377.73,23421.41
O00298,C0131,2022-04-15,P124,Books,20.0,757.0,15140.0
O00299,C0065,2023-12-13,P033,Electronics,12.0,1360.18,16322.16
O00300,C0155,2022-08-23,P018,Toys,17.0,480.17,8162.89
O00301,C0138,2023-05-30,P089,Electronics,7.0,757.68,5303.76
O00302,C0033,2022-09-25,P067,Fashion,17.0,961.65,16348.05
O00303,C0138,2022-06-08,P038,Electronics,6.0,1441.27,8647.62
O00304,C0070,2023-11-16,P030,,,,1604.96
O00305,C0124,2022-11-20,P046,,,,8920.56
O00306,C0032,2023-01-16,P083,Groceries,6.0,1122.59,6735.54
O00307,C0050,2022-12-22,P021,Groceries,19.0,304.51,5785.69
O00308,C0004,2023-12-09,P104,Toys,4.0,1375.99,5503.96
O00309,C0157,2023-06-25,P079,Electronics,6.0,921.39,5528.34
O00310,C0041,2022-02-25,P067,Home,15.0,265.68,3985.2
O00311,C0018,2022-12-10,P047,Home,3.0,66.78,200.34
O00312,C0200,2023-01-19,P041,,,,1918.35
O00313,C0019,2023-06-06,P063,Home,14.0,110.83,1551.62
O00314,C0134,2023-07-15,P043,Toys,16.0,979.6,15673.6
O00315,C0113,2022-12-20,P100,Books,13.0,482.06,6266.78
O00316,C0200,2023-09-19,P034,Home,2.0,820.01,1640.02
O00317,C0186,2023-01-10,P017,Home,11.0,727.81,8005.91
O00318,C0161,2023-12-25,P037,Groceries,1.0,1021.94,1021.94
O00319,C0116,2023-01-25,P011,Fashion,12.0,144.96,1739.52
O00320,C0191,2022-10-04,P030,Electronics,18.0,114.06,2053.08
O00321,C0006,2022-12-12,P028,Toys,15.0,1092.8,16392.0
O00322,C0020,2023-07-12,P083,,,,5090.4
O00323,C0112,2022-10-31,P034,Toys,10.0,1083.72,10837.2
O00324,C0135,2023-08-26,P112,Fashion,4.0,475.27,1901.08
O00325,C0014,2022-05-30,P070,Books,10.0,1151.4,11514.0
O00326,C0078,2023-08-29,P025,Home,4.0,673.73,2694.92
O00327,C0110,2023-06-08,P111,Home,20.0,1457.98,29159.6
O00328,C0006,2023-03-12,P109,Fashion,18.0,1377.81,24800.58
O00329,C0140,2023-11-03,P008,Toys,17.0,182.95,3110.15
O00330,C0021,2022-03-05,P076,Electronics,15.0,902.17,13532.55
O00331,C0015,2023-07-31,P112,Books,7.0,424.21,2969.47
O00332,C0021,2022-03-18,P058,Groceries,10.0,1410.75,14107.5
O00333,C0165,2023-01-13,P006,Books,9.0,1275.53,11479.77
O00334,C0058,2023-09-30,P019,,,,4446.64
O00335,C0184,2022-05-24,P058,Groceries,16.0,373.84,5981.44
O00336,C0073,2022-12-05,P100,Fashion,7.0,1446.31,10124.17
O00337,C0058,2022-07-13,P017,Toys,11.0,473.23,5205.53
O00338,C0014,2022-12-07,P040,Fashion,3.0,420.05,1260.15
O00339,C0037,2023-11-21,P106,Toys,17.0,665.8,11318.6
O00340,C0009,2022-12-22,P050,Groceries,20.0,633.93,12678.6
O00341,C0160,2022-02-03,P115,Home,15.0,148.02,2220.3
O00342,C0037,2022-01-08,P009,Toys,17.0,1453.09,24702.53
O00343,C0131,2022-08-06,P099,Electronics,10.0,316.84,3168.4
O00344,C0072,2022-10-14,P003,Fashion,2.0,289.63,579.26
O00345,C0028,2022-11-10,P054,Books,20.0,329.07,6581.4
O00346,C0115,2023-06-10,P125,Books,3.0,441.36,1324.08
O00347,C0064,2022-06-17,P034,,,,6853.68
O00348,C0125,2023-08-14,P073,Fashion,8.0,56.98,455.84
O00349,C0096,2022-01-09,P098,Books,18.0,236.27,4252.86
O00350,C0139,2022-05-09,P124,Home,14.0,130.65,1829.1
O00351,C0070,2023-10-18,P125,Electronics,15.0,907.13,13606.95
O00352,C0176,2022-07-03,P068,Books,13.0,270.59,3517.67
O00353,C0139,2022-12-10,P123,Fashion,11.0,34.58,380.38
O00354,C0130,2023-04-07,P090,Books,16.0,54.15,866.4
O00355,C0131,2022-06-26,P033,Home,3.0,1284.53,3853.59
O00356,C0135,2022-01-04,P089,Electronics,8.0,948.52,7588.16
O00357,C0155,2023-01-09,P097,Electronics,13.0,375.5,4881.5
O00358,C0198,2022-01-13,P083,Books,10.0,1164.66,11646.6
O00359,C0107,2023-05-14,P107,Toys,18.0,87.01,1566.18
O00360,C0194,2022-01-31,P107,Books,4.0,652.3,2609.2
O00361,C0130,2023-01-24,P063,,,,10956.4
O00362,C0023,2022-11-09,P106,Fashion,9.0,488.33,4394.97
O00363,C0147,2022-11-19,P011,Books,4.0,132.52,530.08
O00364,C0124,2023-06-22,P023,Books,18.0,1237.08,22267.44
O00365,C0015,2023-03-29,P102,Groceries,18.0,925.9,16666.2
O00366,C0066,2022-12-31,P124,Fashion,15.0,749.2,11238.0
O00367,C0061,2022-12-27,P033,Books,14.0,983.45,13768.3
O00368,C0120,2023-08-28,P035,,,,9013.29
O00369,C0037,2022-12-30,P097,Books,1.0,684.85,684.85
O00370,C0188,2023-10-14,P105,Groceries,17.0,268.03,4556.51
O00371,C0030,2023-05-31,P083,Groceries,7.0,1461.98,10233.86
O00372,C0046,2023-01-03,P042,Groceries,4.0,206.45,825.8
O00373,C0098,2023-09-06,P077,Home,11.0,822.03,9042.33
O00374,C0101,2022-10-07,P064,Groceries,1.0,64.97,64.97
O00375,C0074,2022-02-14,P026,Electronics,16.0,222.34,3557.44
O00376,C0184,2022-01-07,P043,Electronics,18.0,184.57,3322.26
O00377,C0193,2023-05-28,P004,Home,15.0,1429.82,21447.3
O00378,C0127,2023-06-17,P121,Electronics,1.0,1300.66,1300.66
O00379,C0055,2022-07-09,P039,Fashion,17.0,803.29,13655.93
O00380,C0062,2023-01-02,P130,Groceries,6.0,598.74,3592.44
O00381,C0080,2022-09-26,P076,Fashion,9.0,958.03,8622.27
O00382,C0057,2022-01-12,P122,Fashion,20.0,1491.72,29834.4
O00383,C0153,2022-05-28,P053,Toys,18.0,77.77,1399.86
O00384,C0113,2023-08-02,P088,Toys,3.0,311.5,934.5
O00385,C0188,2023-05-29,P055,Fashion,16.0,1088.61,17417.76
O00386,C0123,2023-05-06,P012,Toys,1.0,465.72,465.72
O00387,C0159,2023-03-10,P042,Home,12.0,1211.98,14543.76
O00388,C0127,2022-11-06,P127,Fashion,3.0,909.53,2728.59
O00389,C0146,2022-05-22,P126,,,,9153.45
O00390,C0068,2022-04-19,P083,Groceries,6.0,1123.01,6738.06
O00391,C0185,2022-07-20,P051,Books,18.0,319.34,5748.12
O00392,C0142,2023-12-17,P041,Fashion,6.0,1220.89,7325.34
O00393,C0063,2022-05-14,P086,Home,9.0,889.71,8007.39
O00394,C0199,2023-11-09,P130,Groceries,19.0,516.72,9817.68
O00395,C0182,2023-07-01,P027,Toys,15.0,1392.23,20883.45
O00396,C0060,2022-10-30,P092,Books,10.0,1111.67,11116.7
O00397,C0116,2022-01-09,P047,Fashion,12.0,909.1,10909.2
O00398,C0094,2022-08-06,P011,Toys,17.0,1344.18,22851.06
O00399,C0149,2023-09-21,P029,Fashion,12.0,1204.76,14457.12
O00400,C0102,2022-01-05,P088,Groceries,15.0,538.83,8082.45
O00401,C0048,2023-12-24,P125,Toys,13.0,531.97,6915.61
